City,Population,Plant,Transect,Lat.pop,Long.pop,Distance,Pop.density,HCN_Result,Locus.Li,Locus.Ac,Comments.Ac.Li,Check.HCN,Dmg.1,Dmg.2,Dmg.Avg,Comments.HCN
New York,1,1,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,1,2,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,3,,,,34.51095497,293.82758,0,NA,NA,empty,,,,,
New York,1,4,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,5,,,,34.51095497,293.82758,0,NA,NA,empty,,,,,
New York,1,6,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,7,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,1,8,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,9,,,,34.51095497,293.82758,0,1,1,One leaf split between two wells,,,,,
New York,1,10,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,1,11,,,,34.51095497,293.82758,0,0,1,One leaf split between two wells,,,,,
New York,1,12,,,,34.51095497,293.82758,0,0,1,One leaf split between two wells,,,,,
New York,1,13,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,1,14,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,15,,,,34.51095497,293.82758,0,0,1,One leaf split between two wells,,,,,
New York,1,16,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,1,17,,,,34.51095497,293.82758,0,0,0,,,,,,
New York,1,18,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,19,,,,34.51095497,293.82758,1,1,1,,,,,,
New York,1,20,,,,34.51095497,293.82758,0,1,0,One leaf split between two wells,,,,,
New York,2,1,,,,33.57207474,817.55988,1,1,1,,,,,,
New York,2,2,,,,33.57207474,817.55988,0,1,0,One leaf split between two wells,,,,,
New York,2,3,,,,33.57207474,817.55988,0,0,1,One leaf split between two wells,,,,,
New York,2,4,,,,33.57207474,817.55988,0,0,0,One leaf split between two wells,,,,,
New York,2,5,,,,33.57207474,817.55988,0,0,1,One leaf split between two wells,,,,,
New York,2,6,,,,33.57207474,817.55988,1,1,1,,,,,,
New York,2,7,,,,33.57207474,817.55988,0,1,0,One leaf split between two wells,,,,,
New York,2,8,,,,33.57207474,817.55988,0,0,0,One leaf split between two wells,,,,,
New York,2,9,,,,33.57207474,817.55988,0,1,1,One leaf split between two wells,,,,,
New York,2,10,,,,33.57207474,817.55988,0,0,1,One leaf split between two wells,,,,,
New York,2,11,,,,33.57207474,817.55988,1,1,1,,,,,,
New York,2,12,,,,33.57207474,817.55988,0,NA,NA,empty,,,,,
New York,2,13,,,,33.57207474,817.55988,0,NA,NA,empty,,,,,
New York,2,14,,,,33.57207474,817.55988,1,1,1,,,,,,
New York,2,15,,,,33.57207474,817.55988,1,1,1,,,,,,
