OVERALL_ID,City,Pop,Transect,Pop_ID,Latitude,Longitude,DistToCore,PopDens,NumPlants,NumCyanogenic,PropCyanogenic,NumAcyanogenic,PropAcyanogenic,NumAcyScreened_Linamarin,NumAcy_Linamarin,PropAcy_Linamarin,TotalScreened_Linamarin,TotalProp_Linamarin,NumAcyScreened_Linamarase,NumAcy_Linamarase,PropAcy_Linamarase,TotalScreened_Linamarase,TotalProp_Linamarase
1,T,1,A,T-1,44.0302644,-79.52738917,43.24512964,14.12792,19,4,0.210526316,15,0.789473684,0,0,,,,12,8,0.666666667,16,0.75
2,T,2,A,T-2,44.01968437,-79.52537587,42.06986656,16.74835,20,5,0.25,15,0.75,15,11,0.733333333,20,0.8,0,0,,,
3,T,3,A,T-3,44.01056937,-79.52316198,41.04714406,19.923,20,4,0.2,16,0.8,0,0,,,,15,4,0.266666667,19,0.421052632
4,T,4,A,T-4,43.99906923,-79.51997222,39.74826252,40.8105,20,8,0.4,12,0.6,12,5,0.416666667,20,0.65,0,0,,,
5,T,5,A,T-5,43.99338264,-79.51925626,39.12573962,40.8105,20,13,0.65,7,0.35,0,0,,,,7,4,0.571428571,20,0.85
6,T,6,A,T-6,43.98568084,-79.51690128,38.2512624,40.68933,20,7,0.35,13,0.65,13,8,0.615384615,20,0.75,0,0,,,
7,T,7,A,T-7,43.9776803,-79.51558202,37.36913951,44.76936,19,11,0.578947368,8,0.421052632,0,0,,,,8,5,0.625,19,0.842105263
8,T,8,A,T-8,43.96956954,-79.51282817,36.44221607,43.52432,20,9,0.45,11,0.55,11,10,0.909090909,20,0.95,0,0,,,
9,T,9,A,T-9,43.95736342,-79.51063671,35.09377584,47.39742,20,5,0.25,15,0.75,0,0,,,,15,11,0.733333333,20,0.8
10,T,10,A,T-10,43.95194554,-79.50947256,34.49113097,47.39742,20,11,0.55,9,0.45,9,6,0.666666667,20,0.85,0,0,,,
11,T,11,A,T-11,43.94275656,-79.50682589,33.45316762,22.5484,20,8,0.4,12,0.6,0,0,,,,10,5,0.5,18,0.722222222
12,T,12,A,T-12,43.93385552,-79.50470828,32.45905319,58.65317,20,5,0.25,15,0.75,15,8,0.533333333,20,0.65,0,0,,,
13,T,13,A,T-13,43.92441239,-79.50305515,31.4199885,71.58488,20,19,0.95,1,0.05,0,0,,,,1,1,1,20,1
