City,Latitude,Longitude,Comments
Tampa,27.94742,-82.458778,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Jacksonville,30.32597,-81.656761,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Atlanta,33.748997,-84.387985,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Charlotte,35.227085,-80.843124,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Norfolk,36.850769,-76.285873,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Washington D.C.,38.907192,-77.036873,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Baltimore,39.290386,-76.61219,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Philadelphia,39.952583,-75.165222,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Cleveland,41.499321,-81.694359,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Pittsburgh,40.440624,-79.995888,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Cincinnati,39.103119,-84.512016,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Detroit,42.331429,-83.045753,"Lat/Long from https://www.latlong.net/. Accessed Oct. 26, 2018."
Toronto,43.6561,-79.3803,"Lat/Long from Thompson et al. (2016), Fig. S1."
Boston,42.3547,-71.0665,"Lat/Long from Thompson et al. (2016), Fig. S5."
NewYork,40.7921,-73.958,"Lat/Long from Thompson et al. (2016), Fig. S4."
Montreal,45.502,-73.5672,"Lat/Long from Thompson et al. (2016), Fig. S6."
