City,Population,Transect,Lat.pop,Long.pop,MWT,MST
Tampa,1,NA,28.324528999999998,-82.357619000000000,9.00000,33.90000
Tampa,2,NA,28.193446000000002,-82.637518000000000,9.70000,34.00000
Tampa,3,NA,28.084311000000000,-82.503479999999996,10.30000,33.60000
Tampa,4,NA,27.970340000000000,-82.460203000000007,11.00000,33.80000
Tampa,5,NA,27.945929000000000,-82.463866999999993,11.20000,33.70000
Tampa,6,NA,27.981413000000000,-82.386319999999998,10.70000,33.90000
Tampa,7,NA,27.990293000000001,-82.239326000000005,10.00000,34.00000
Tampa,8,NA,27.993017999999999,-82.224684999999994,9.90000,34.00000
Tampa,9,NA,27.996721999999998,-82.210448999999997,9.80000,34.00000
Tampa,10,NA,28.006086000000000,-82.174233999999998,9.80000,33.90000
Tampa,11,NA,28.009763000000000,-82.163741999999999,9.90000,34.00000
Tampa,12,NA,28.018260999999999,-82.105072000000007,9.90000,33.90000
Tampa,13,NA,28.020768000000000,-82.092934000000000,9.90000,33.90000
Tampa,14,NA,28.035471999999999,-82.017525000000006,9.90000,33.90000
Tampa,15,NA,28.039306000000000,-82.002795000000006,10.00000,33.90000
Jacksonville,1,NA,30.332625000000000,-81.652426000000006,6.80000,33.60000
Jacksonville,2,NA,30.332602000000001,-81.652372000000000,6.80000,33.60000
Jacksonville,3,NA,30.338130000000000,-81.657719000000000,6.80000,33.80000
Jacksonville,4,NA,30.341833000000001,-81.660644000000005,6.80000,33.80000
Jacksonville,5,NA,30.343827999999998,-81.661720000000003,6.80000,33.80000
Jacksonville,6,NA,30.348720000000000,-81.662051000000005,6.80000,33.80000
Jacksonville,7,NA,30.365468000000000,-81.643350999999996,6.70000,33.60000
Jacksonville,8,NA,30.372029000000001,-81.640096999999997,6.60000,33.50000
Jacksonville,9,NA,30.387416000000002,-81.650536000000002,6.60000,33.50000
Jacksonville,10,NA,30.389887999999999,-81.656746999999996,6.60000,33.50000
Jacksonville,11,NA,30.399336000000002,-81.647373000000002,6.50000,33.60000
Jacksonville,12,NA,30.410342000000000,-81.650317000000001,6.50000,33.70000
Jacksonville,13,NA,30.441438000000002,-81.639932000000002,6.50000,33.70000
Jacksonville,14,NA,30.442688000000000,-81.607167000000004,6.50000,33.70000
Jacksonville,15,NA,30.457001999999999,-81.605688999999998,6.50000,33.60000
Jacksonville,16,NA,30.459416999999998,-81.619352000000006,6.60000,33.60000
Jacksonville,17,NA,30.466100000000001,-81.621807000000004,6.60000,33.60000
Jacksonville,18,NA,30.478216000000000,-81.610134000000002,6.60000,33.50000
Jacksonville,19,NA,30.484003999999999,-81.596670000000003,6.70000,33.50000
Jacksonville,20,NA,30.499397999999999,-81.587485000000001,6.80000,33.50000
Jacksonville,21,NA,30.518747000000001,-81.589613000000000,6.80000,33.40000
Jacksonville,22,NA,30.629104000000002,-81.570130000000006,6.70000,33.10000
Jacksonville,23,NA,30.626030000000000,-81.548181000000000,6.60000,33.10000
Jacksonville,24,NA,30.591774000000001,-81.525783000000004,6.30000,33.60000
Jacksonville,25,NA,30.596473000000000,-81.516146000000006,6.30000,33.30000
Jacksonville,26,NA,30.606432000000002,-81.516968000000006,6.30000,33.50000
Jacksonville,27,NA,30.617977000000000,-81.515085999999997,6.30000,33.50000
Jacksonville,28,NA,30.643744999999999,-81.529801000000006,6.40000,33.50000
Jacksonville,29,NA,30.640010000000000,-81.545267999999993,6.60000,33.10000
Jacksonville,30,NA,30.641822000000001,-81.612741000000000,6.10000,33.50000
Jacksonville,31,NA,30.650935000000000,-81.623743000000005,5.90000,33.60000
Jacksonville,32,NA,30.658639000000001,-81.631185000000002,5.80000,33.60000
Jacksonville,33,NA,30.668565000000001,-81.638954999999996,5.70000,33.60000
Jacksonville,34,NA,30.684526000000002,-81.651167999999998,5.60000,33.70000
Jacksonville,35,NA,30.696097999999999,-81.659974000000005,5.60000,33.70000
Atlanta,1,NA,33.580934999999997,-84.690674000000001,-1.20000,32.60000
